CommitteeSessionID,Number,KnessetNum,TypeID,TypeDesc,CommitteeID,Location,SessionUrl,BroadcastUrl,StartDate,FinishDate,Note,LastUpdatedDate,download_crc32c,download_filename,download_filesize,parts_crc32c,parts_filesize,parts_parsed_filename,text_crc32c,text_filesize,text_parsed_filename,topics,committee_name
64515,,16,161,פתוחה,22,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64515,,2003-02-25 10:30:00,,,2012-09-19 15:27:32,,,,,,,,,,,החוץ והבטחון
64516,2,16,161,פתוחה,21,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64516,,2003-02-24 10:00:00,,,2012-09-19 15:27:32,,,,,,,,,,"[""שינויים בתקציב לשנת 2003"", ""בחירת יו\""ר לועדה הזמנית"", ""תקנות התקשורת (בזק ושידורים)(חישוב תשלומים בעד שירותי בזק והצמדתם)(תיקון), התשס\""ג - 2003"", ""תקנות התקשורת (בזק ושידורים)(תשלומים בעד שירותי בזק המפורטים בתוספת לחוק)(תיקון מס' 2), התשס\""ג - 2003"", ""צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס' 115), התשס\""ג - 2003"", ""צו תעריף המכס והפטורים ומס קניה על טובין (הוראת שעה)(מס' 3), התשס\""ג - 2003 (פסיפס מקרמיקה וזכוכית)"", ""צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס' 110), התשס\""ג - 2002 (דגים שנדוגו ע\""י ספינות דייג ישראליות)""]",הכספים
64517,4,16,161,פתוחה,21,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64517,,2003-03-11 10:00:00,2003-03-11 23:59:00,,2012-09-19 15:27:32,,,,,,,,,,"[""שינויים בתקציב לשנת 2003"", ""תקנות ניירות ערך (חתימה ודיווח אלקטרוני), התשס\""ג - 2003"", ""תקנות ניירות ערך (דוחות תקופתיים ומיידיים), התשס\""ג - 2003"", ""תקנות ניירות ערך (דוחות תקופתיים ומיידיים של תאגיד חוץ)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (הודעת מנהלים)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (מסירת הודעות לרשות)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (פרטי תשקיף,מבנהו וצורתו)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (פרטי מסמך רישום, מבנהו וצורתו)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (פרטי מתאר הצעת ניירות ערך לעובדים)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (הצעה פרטיתך של ניירות ערך בחברה רשומה)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (הצעת רכש)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (חיתום)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (עסקה בין חברה לבין בעל שליטה בה)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (דוחות תקופתיים ומיידיים)(תיקון), התשס\""ג - 2002"", ""תקנות ניירות ערך (מועדי הגשת הודעה של בעל ענין), התשס\""ג - 2003"", ""המשבר בענף הדגה בישראל""]",הכספים
64518,,16,161,פתוחה,22,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64518,,2003-02-26 08:30:00,,,2012-09-19 15:27:33,,,,,,,,,,,החוץ והבטחון
64519,1,16,161,פתוחה,22,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64519,,2003-03-04 10:00:00,2003-03-04 23:59:00,,2012-09-19 15:27:42,,,,,,,,,,"[""סקירת ראש אמ\""ן האלוף אהרן זאבי (פרקש)""]",החוץ והבטחון
64520,2,16,161,פתוחה,30,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2730",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64520,,2003-03-11 13:00:00,2003-03-11 23:59:00,,2012-09-19 15:27:43,Nrozmw==,files/23/3/7/377293.DOC,17149,8u210w==,24,files/6/4/64520.csv,LmbDnQ==,8,files/6/4/64520.txt,"[""קידום נשים במדע ובטכנולוגיה""]",לקידום מעמד האישה
64521,6,16,161,פתוחה,28,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3730",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64521,,2003-03-10 10:30:00,2003-03-10 23:59:00,,2012-09-19 15:27:33,,,,,,,,,,"[""מינוי יו\""ר ועדה""]","העבודה, הרווחה והבריאות"
267294,392,17,161,פתוחה,194,"חדר הוועדה, באגף קדמה, קומה 1, חדר 1720",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=267294,,2007-12-25 09:00:00,,,2012-09-19 15:27:39,LYeaSg==,files/23/1/3/136654.DOC,185856,r2rkQg==,72231,files/2/6/267294.csv,mlBNgg==,72416,files/2/6/267294.txt,"[""חוק העונשין (תיקון מס' 97), התשס\""ח-2008""]","החוקה, חוק ומשפט"
267295,394,17,161,פתוחה,194,"חדר הוועדה, באגף קדמה, קומה 1, חדר 1720",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=267295,,2007-12-26 09:00:00,,,2012-09-19 15:27:39,9Ovp6w==,files/23/1/3/136655.DOC,257536,Om3qow==,115282,files/2/6/267295.csv,fHUSsw==,115528,files/2/6/267295.txt,"[""חוקה""]","החוקה, חוק ומשפט"
267296,433,17,161,פתוחה,191,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3740",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=267296,,2007-12-18 15:00:00,,,2012-09-19 15:27:39,qKJgcQ==,files/23/1/3/136656.DOC,156160,VQ2lBA==,49384,files/2/6/267296.csv,iZ2rQA==,49342,files/2/6/267296.txt,"[""חוק משק הגז (קידום התחרות בגז לצריכה ביתית) (תיקוני חקיקה), התשס\""ח-2008""]",הכלכלה
