faction_id,faction_name,start_date,finish_date,member_mk_ids,knesset
903,הרשימה המשותפת,2018-08-10,2018-08-28,"[968, 938, 971, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
910,"ש""ס",2018-03-15,2018-08-28,"[960, 906, 970, 751, 50, 957, 222]",20
910,"ש""ס",2018-03-14,2018-03-14,"[960, 7, 906, 970, 751, 50, 957, 222]",20
910,"ש""ס",2018-02-23,2018-03-13,"[960, 7, 906, 751, 50, 957, 222]",20
910,"ש""ס",2018-02-22,2018-02-22,"[960, 65, 7, 906, 751, 50, 957, 222]",20
904,יש עתיד,2018-02-10,2018-08-28,"[897, 899, 868, 900, 905, 874, 875, 876, 878, 860, 927]",20
903,הרשימה המשותפת,2018-02-10,2018-08-09,"[968, 938, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
903,הרשימה המשותפת,2018-02-09,2018-02-09,"[964, 968, 938, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
904,יש עתיד,2018-02-09,2018-02-09,"[897, 899, 868, 900, 905, 874, 875, 876, 878, 887, 860, 927]",20
903,הרשימה המשותפת,2017-10-26,2018-02-08,"[964, 938, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
903,הרשימה המשותפת,2017-10-25,2017-10-25,"[961, 964, 938, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
909,מרצ,2017-10-23,2018-08-28,"[708, 871, 200, 888, 895]",20
909,מרצ,2017-10-22,2017-10-22,"[708, 871, 200, 201, 888, 895]",20
902,המחנה הציוני,2017-10-07,2018-08-28,"[896, 772, 901, 903, 782, 913, 916, 917, 926, 933, 934, 935, 818, 819, 952, 64, 962, 963, 213, 862, 865, 866, 740, 105, 881]",20
902,המחנה הציוני,2017-10-06,2017-10-06,"[896, 772, 901, 903, 782, 913, 916, 917, 926, 933, 934, 935, 818, 819, 952, 64, 962, 963, 213, 862, 865, 866, 740, 105, 881, 882]",20
902,המחנה הציוני,2017-10-04,2017-10-05,"[896, 772, 901, 903, 782, 913, 916, 917, 926, 933, 934, 935, 818, 819, 952, 64, 962, 213, 862, 865, 866, 740, 105, 881, 882]",20
902,המחנה הציוני,2017-10-03,2017-10-03,"[896, 772, 901, 903, 782, 913, 916, 917, 925, 926, 933, 934, 935, 818, 819, 952, 64, 962, 213, 862, 865, 866, 740, 105, 881, 882]",20
910,"ש""ס",2017-09-21,2018-02-21,"[65, 7, 906, 751, 50, 957, 222]",20
903,הרשימה המשותפת,2017-09-21,2017-10-24,"[961, 938, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
903,הרשימה המשותפת,2017-09-20,2017-09-20,"[961, 937, 938, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
910,"ש""ס",2017-09-20,2017-09-20,"[960, 65, 7, 906, 751, 50, 957, 222]",20
910,"ש""ס",2017-09-19,2017-09-19,"[960, 65, 7, 906, 751, 50, 954, 957]",20
903,הרשימה המשותפת,2017-08-12,2017-09-19,"[937, 938, 780, 844, 846, 208, 756, 948, 919, 857, 923, 958, 959]",20
903,הרשימה המשותפת,2017-08-11,2017-08-11,"[937, 938, 780, 844, 846, 909, 208, 756, 948, 919, 857, 923, 958, 959]",20
903,הרשימה המשותפת,2017-03-22,2017-08-10,"[937, 938, 780, 844, 846, 909, 208, 756, 948, 919, 857, 923, 958]",20
903,הרשימה המשותפת,2017-03-21,2017-03-21,"[867, 937, 938, 780, 844, 846, 909, 208, 756, 948, 919, 857, 923, 958]",20
905,ישראל ביתנו,2017-03-16,2018-08-28,"[837, 78, 951, 793, 956]",20
913,",",2017-03-15,2018-08-28,[832],20
910,"ש""ס",2016-11-02,2017-09-18,"[65, 7, 906, 751, 50, 954, 957]",20
910,"ש""ס",2016-11-01,2016-11-01,"[65, 7, 906, 751, 50, 954]",20
905,ישראל ביתנו,2016-06-02,2017-03-15,"[832, 837, 78, 951, 793, 956]",20
905,ישראל ביתנו,2016-06-01,2016-06-01,"[832, 837, 78, 214, 951, 793, 956]",20
908,יהדות התורה,2016-05-25,2018-08-28,"[35, 839, 814, 754, 216, 861]",20
882,הליכוד,2016-05-24,2018-08-28,"[768, 1, 771, 14, 912, 914, 918, 922, 924, 929, 931, 932, 45, 943, 944, 945, 950, 695, 825, 826, 953, 955, 830, 831, 69, 723, 212, 90, 734, 230]",20
908,יהדות התורה,2016-05-24,2016-05-24,"[35, 103, 839, 814, 754, 216, 861]",20
882,הליכוד,2016-05-23,2016-05-23,"[768, 1, 771, 14, 912, 914, 918, 922, 924, 929, 931, 932, 45, 943, 944, 945, 950, 823, 695, 825, 826, 953, 955, 830, 831, 69, 723, 212, 90, 734, 230]",20
906,כולנו,2016-01-30,2018-08-28,"[928, 939, 941, 910, 911, 942, 946, 915, 854, 921]",20
906,כולנו,2016-01-29,2016-01-29,"[928, 939, 941, 910, 911, 942, 946, 915, 854, 921, 731]",20
910,"ש""ס",2016-01-25,2016-10-31,"[65, 7, 41, 906, 751, 50, 954]",20
910,"ש""ס",2016-01-24,2016-01-24,"[65, 7, 41, 906, 751, 50, 954, 222]",20
882,הליכוד,2015-12-27,2016-05-22,"[768, 1, 771, 14, 912, 914, 918, 922, 924, 929, 931, 932, 45, 943, 944, 945, 950, 823, 695, 825, 826, 953, 830, 831, 69, 723, 212, 90, 734, 230]",20
882,הליכוד,2015-12-25,2015-12-26,"[768, 1, 771, 14, 912, 914, 918, 922, 924, 929, 931, 932, 45, 943, 944, 945, 950, 823, 695, 825, 826, 830, 831, 69, 723, 212, 90, 734, 230]",20
907,הבית היהודי,2015-12-06,2018-08-28,"[864, 904, 713, 873, 936, 879, 92, 863]",20
907,הבית היהודי,2015-12-04,2015-12-05,"[904, 713, 873, 936, 879, 92, 863]",20
902,המחנה הציוני,2015-11-26,2017-10-02,"[896, 772, 901, 903, 782, 913, 916, 917, 925, 926, 933, 934, 935, 818, 819, 952, 64, 213, 862, 865, 866, 740, 105, 881, 882]",20
