KnessetDateID,KnessetNum,Name,Assembly,Plenum,PlenumStart,PlenumFinish,IsCurrent,LastUpdatedDate
1,13,השלוש-עשרה,1,2,1992-10-26 00:00:00,1993-03-24 00:00:00,False,2016-02-24 14:56:01
2,13,השלוש-עשרה,2,2,1993-05-03 00:00:00,1993-08-04 00:00:00,False,2016-02-24 14:56:16
3,13,השלוש-עשרה,1,3,1993-10-11 00:00:00,1994-03-16 00:00:00,False,2016-02-24 14:56:27
4,13,השלוש-עשרה,2,3,1994-04-18 00:00:00,1994-07-27 00:00:00,False,2016-02-24 14:56:27
5,13,השלוש-עשרה,1,4,1994-10-03 00:00:00,1995-04-05 00:00:00,False,2016-02-24 14:25:35
6,13,השלוש-עשרה,2,4,1995-05-15 00:00:00,1995-08-02 00:00:00,False,2016-02-24 14:25:35
7,13,השלוש-עשרה,1,5,1995-10-23 00:00:00,1996-03-13 00:00:00,False,2016-02-24 14:28:43
8,14,הארבע-עשרה,1,1,1996-06-17 00:00:00,1996-06-17 00:00:00,False,2017-06-15 16:45:47
9,14,הארבע-עשרה,1,2,1996-10-07 00:00:00,1997-04-06 00:00:00,False,2016-02-28 11:54:03
10,14,הארבע-עשרה,2,2,1997-05-19 00:00:00,1997-08-03 00:00:00,False,2016-02-28 11:54:03
11,14,הארבע-עשרה,1,3,1997-10-27 00:00:00,1998-03-29 00:00:00,False,2016-02-28 11:54:21
12,14,הארבע-עשרה,2,3,1998-05-04 00:00:00,1998-08-02 00:00:00,False,2016-03-02 17:44:31
13,15,החמש-עשרה,1,1,1999-06-07 00:00:00,1999-06-07 00:00:00,False,2017-06-15 16:46:09
14,15,החמש-עשרה,1,2,1999-10-03 00:00:00,2000-04-02 00:00:00,False,2016-02-28 11:56:37
15,15,החמש-עשרה,2,2,2000-05-14 00:00:00,2000-08-06 00:00:00,False,2016-02-28 11:56:37
16,12,השתים-עשרה,1,4,1991-10-17 00:00:00,1992-03-18 00:00:00,False,2016-02-24 13:22:27
17,13,השלוש-עשרה,1,1,1992-07-13 00:00:00,1992-07-13 00:00:00,False,2017-06-15 16:45:08
18,15,החמש-עשרה,1,3,2000-10-29 00:00:00,2001-04-01 00:00:00,False,2016-02-28 11:57:03
19,15,החמש-עשרה,2,3,2001-05-06 00:00:00,2001-07-29 00:00:00,False,2016-02-28 11:57:03
20,15,החמש-עשרה,1,4,2001-10-14 00:00:00,2002-03-17 00:00:00,False,2016-02-28 11:57:32
21,15,החמש-עשרה,2,4,2002-04-28 00:00:00,2002-07-28 00:00:00,False,2016-02-28 11:57:32
22,15,החמש-עשרה,1,5,2002-10-13 00:00:00,2002-11-17 00:00:00,False,2016-02-28 11:57:51
23,16,השש-עשרה,1,1,2003-02-17 00:00:00,2003-03-30 00:00:00,False,2016-02-28 10:22:53
24,16,השש-עשרה,2,1,2003-05-11 00:00:00,2003-08-03 00:00:00,False,2016-02-28 10:22:53
25,16,השש-עשרה,1,2,2003-10-19 00:00:00,2004-03-28 00:00:00,False,2016-02-28 10:23:19
26,16,השש-עשרה,2,2,2004-05-02 00:00:00,2004-08-08 00:00:00,False,2016-02-28 10:23:19
27,16,השש-עשרה,1,3,2004-10-10 00:00:00,2005-04-03 00:00:00,False,2016-02-28 10:23:43
28,16,השש-עשרה,2,3,2005-05-15 00:00:00,2005-07-31 00:00:00,False,2016-02-28 10:23:44
29,16,השש-עשרה,1,4,2005-10-30 00:00:00,2005-12-25 00:00:00,False,2016-02-28 11:39:57
30,18,השמונה-עשרה,1,3,2010-10-11 00:00:00,2011-04-03 00:00:00,False,2016-02-28 10:51:43
31,10,העשירית,2,1,1981-07-20 00:00:00,1981-08-18 00:00:00,False,2016-02-24 11:56:42
32,10,העשירית,1,2,1981-11-02 00:00:00,1982-03-31 00:00:00,False,2016-02-24 11:57:03
33,10,העשירית,2,2,1982-05-03 00:00:00,1982-07-28 00:00:00,False,2016-02-24 11:57:03
34,10,העשירית,1,3,1982-10-18 00:00:00,1983-03-23 00:00:00,False,2016-02-24 12:12:18
35,10,העשירית,2,3,1983-05-02 00:00:00,1983-07-27 00:00:00,False,2016-02-24 12:12:18
36,19,התשע-עשרה,2,2,2014-05-11 00:00:00,2014-08-03 00:00:00,False,2015-03-20 12:03:01
37,4,הרביעית,1,1,1959-11-30 00:00:00,1960-04-06 00:00:00,False,2016-02-23 17:10:33
38,19,התשע-עשרה,2,3,2014-12-10 00:00:00,2014-12-10 00:00:00,False,2016-02-28 11:36:42
39,17,השבע-עשרה,1,1,2006-04-17 00:00:00,2006-07-23 00:00:00,False,2016-02-28 10:38:07
40,17,השבע-עשרה,1,3,2007-10-07 00:00:00,2008-04-06 00:00:00,False,2016-02-28 11:34:46
41,18,השמונה-עשרה,2,3,2011-05-15 00:00:00,2011-08-07 00:00:00,False,2016-02-28 10:51:43
42,20,העשרים,1,1,2015-05-03 00:00:00,2015-08-02 00:00:00,True,2015-10-19 15:48:20
43,17,השבע-עשרה,2,2,2007-05-06 00:00:00,2007-07-29 00:00:00,False,2016-02-28 10:39:42
44,19,התשע-עשרה,2,1,2013-04-21 00:00:00,2013-08-04 00:00:00,False,2015-03-20 12:03:01
45,2,השנייה,1,1,1951-08-20 00:00:00,1952-04-01 00:00:00,False,2016-02-23 15:26:36
46,3,השלישית,1,1,1955-08-15 00:00:00,1956-03-22 00:00:00,False,2016-02-23 15:49:21
47,5,החמישית,1,1,1961-09-04 00:00:00,1962-04-11 00:00:00,False,2016-02-23 17:20:47
48,6,השישית,1,1,1965-11-22 00:00:00,1966-03-30 00:00:00,False,2016-02-23 18:26:24
49,7,השביעית,1,1,1969-11-17 00:00:00,1970-04-15 00:00:00,False,2016-02-24 11:17:34
50,8,השמינית,1,1,1974-01-21 00:00:00,1974-04-03 00:00:00,False,2016-02-24 11:38:20
51,9,התשיעית,1,1,1977-06-13 00:00:00,1977-06-13 00:00:00,False,2017-06-15 16:41:23
52,14,הארבע-עשרה,1,4,1998-10-19 00:00:00,1999-02-02 00:00:00,False,2016-03-02 17:44:16
53,17,השבע-עשרה,2,3,2008-05-18 00:00:00,2008-08-03 00:00:00,False,2016-02-28 11:34:46
54,19,התשע-עשרה,1,1,2013-02-05 00:00:00,2013-03-19 00:00:00,False,2015-03-20 12:03:01
55,18,השמונה-עשרה,1,5,2012-10-14 00:00:00,2012-10-15 00:00:00,False,2016-02-24 16:23:35
56,19,התשע-עשרה,1,2,2013-10-13 00:00:00,2014-03-23 00:00:00,False,2015-03-20 12:03:01
57,18,השמונה-עשרה,1,1,2009-02-24 00:00:00,2009-04-01 00:00:00,False,2016-02-28 10:50:49
58,18,השמונה-עשרה,1,4,2011-10-30 00:00:00,2012-03-25 00:00:00,False,2015-03-20 12:03:01
59,18,השמונה-עשרה,2,1,2009-05-03 00:00:00,2009-08-02 00:00:00,False,2016-02-28 10:50:49
60,0,מועצת המדינה הזמנית,1,1,1948-05-04 00:00:00,1949-02-14 00:00:00,False,2015-03-20 12:03:01
61,1,הראשונה,1,1,1949-02-14 00:00:00,1949-04-12 00:00:00,False,2017-11-08 14:08:14
62,17,השבע-עשרה,1,2,2006-10-15 00:00:00,2007-03-25 00:00:00,False,2016-02-28 10:39:42
63,12,השתים-עשרה,2,3,1991-04-22 00:00:00,1991-07-24 00:00:00,False,2016-02-24 13:19:18
64,12,השתים-עשרה,1,3,1990-10-15 00:00:00,1991-03-21 00:00:00,False,2016-02-24 13:19:18
65,12,השתים-עשרה,2,2,1990-05-07 00:00:00,1990-08-02 00:00:00,False,2016-02-24 13:18:51
66,12,השתים-עשרה,1,2,1989-10-23 00:00:00,1990-03-29 00:00:00,False,2016-02-24 13:18:51
67,12,השתים-עשרה,2,1,1989-05-15 00:00:00,1989-08-02 00:00:00,False,2016-02-24 13:17:39
68,12,השתים-עשרה,1,1,1988-11-21 00:00:00,1989-04-12 00:00:00,False,2016-02-24 13:17:39
69,10,העשירית,1,4,1983-10-17 00:00:00,1984-03-28 00:00:00,False,2016-02-24 12:14:26
70,10,העשירית,2,4,1984-05-14 00:00:00,1984-06-13 00:00:00,False,2016-02-24 12:14:26
71,11,האחת-עשרה,1,1,1984-10-22 00:00:00,1985-03-28 00:00:00,False,2016-02-24 12:22:57
72,11,האחת-עשרה,2,1,1985-05-03 00:00:00,1985-07-31 00:00:00,False,2016-02-24 12:22:58
73,11,האחת-עשרה,1,2,1985-10-16 00:00:00,1986-04-09 00:00:00,False,2016-02-24 12:23:32
74,11,האחת-עשרה,2,2,1986-05-19 00:00:00,1986-08-06 00:00:00,False,2016-02-24 12:23:32
75,11,האחת-עשרה,1,3,1986-10-27 00:00:00,1987-04-01 00:00:00,False,2016-02-24 12:32:08
76,11,האחת-עשרה,2,3,1987-05-11 00:00:00,1987-08-05 00:00:00,False,2016-02-24 12:32:08
77,11,האחת-עשרה,1,4,1987-10-19 00:00:00,1988-03-23 00:00:00,False,2016-02-24 12:32:34
78,11,האחת-עשרה,2,4,1988-05-02 00:00:00,1988-07-27 00:00:00,False,2016-02-24 12:32:34
79,18,השמונה-עשרה,1,2,2009-10-12 00:00:00,2010-03-17 00:00:00,False,2016-02-28 10:51:01
80,18,השמונה-עשרה,2,2,2010-04-25 00:00:00,2010-07-22 00:00:00,False,2016-02-28 10:51:01
81,18,השמונה-עשרה,2,4,2012-04-29 00:00:00,2012-07-29 00:00:00,False,2015-03-20 12:03:01
82,19,התשע-עשרה,1,3,2014-10-26 00:00:00,2014-12-10 00:00:00,False,2016-02-28 11:36:11
83,17,השבע-עשרה,1,4,2008-10-26 00:00:00,2008-11-10 00:00:00,False,2016-02-28 11:35:03
84,20,העשרים,1,2,2015-10-11 00:00:00,2016-04-03 00:00:00,True,2015-11-26 10:40:55
85,20,העשרים,2,2,2016-05-22 00:00:00,2016-08-07 00:00:00,True,2015-11-26 10:40:55
86,20,העשרים,1,3,2016-10-30 00:00:00,2017-03-26 00:00:00,True,2016-11-10 10:33:45
87,1,הראשונה,2,1,1949-04-25 00:00:00,1949-09-12 00:00:00,False,2017-11-08 14:08:14
88,1,הראשונה,1,2,1949-11-07 00:00:00,1950-03-29 00:00:00,False,2017-11-08 14:08:14
89,1,הראשונה,2,2,1950-04-02 00:00:00,1950-08-10 00:00:00,False,2017-11-08 14:08:14
90,1,הראשונה,1,3,1950-10-16 00:00:00,1951-04-12 00:00:00,False,2017-11-08 14:08:14
91,1,הראשונה,2,3,1951-05-14 00:00:00,1951-07-03 00:00:00,False,2017-11-08 14:08:14
92,2,השנייה,2,1,1952-05-05 00:00:00,1952-08-28 00:00:00,False,2016-02-23 15:26:57
93,2,השנייה,1,2,1952-11-03 00:00:00,1953-03-26 00:00:00,False,2016-02-23 15:27:18
94,2,השנייה,2,2,1953-05-04 00:00:00,1953-08-27 00:00:00,False,2016-02-23 15:27:26
