mk_individual_id,faction_id,faction_name,start_date,finish_date,knesset
971,903,הרשימה המשותפת,2018-08-10,,20
970,910,"ש""ס",2018-03-14,,20
960,910,"ש""ס",2018-02-22,,20
905,904,יש עתיד,2018-02-09,,20
968,903,הרשימה המשותפת,2018-02-09,,20
968,903,הרשימה המשותפת,2018-02-09,2018-08-10,20
964,903,הרשימה המשותפת,2017-10-25,2018-02-09,20
708,909,מרצ,2017-10-22,,20
963,902,המחנה הציוני,2017-10-06,,20
962,902,המחנה הציוני,2017-10-03,,20
222,910,"ש""ס",2017-09-20,,20
961,903,הרשימה המשותפת,2017-09-20,2017-10-25,20
960,910,"ש""ס",2017-09-19,2017-09-20,20
959,903,הרשימה המשותפת,2017-08-11,,20
958,903,הרשימה המשותפת,2017-03-21,,20
832,913,",",2017-03-15,,20
957,910,"ש""ס",2016-11-02,,20
956,905,ישראל ביתנו,2016-06-01,,20
861,908,יהדות התורה,2016-05-24,,20
955,882,הליכוד,2016-05-23,,20
854,906,כולנו,2016-01-29,,20
954,910,"ש""ס",2016-01-24,2017-09-19,20
953,882,הליכוד,2015-12-27,,20
864,907,הבית היהודי,2015-12-06,,20
952,902,המחנה הציוני,2015-11-25,,20
879,907,הבית היהודי,2015-10-09,,20
899,904,יש עתיד,2015-09-04,,20
951,905,ישראל ביתנו,2015-09-04,,20
950,882,הליכוד,2015-08-27,,20
1,882,הליכוד,2015-03-31,,20
14,882,הליכוד,2015-03-31,,20
35,908,יהדות התורה,2015-03-31,,20
45,882,הליכוד,2015-03-31,,20
50,910,"ש""ס",2015-03-31,,20
64,902,המחנה הציוני,2015-03-31,,20
69,882,הליכוד,2015-03-31,,20
78,905,ישראל ביתנו,2015-03-31,,20
90,882,הליכוד,2015-03-31,,20
92,907,הבית היהודי,2015-03-31,,20
105,902,המחנה הציוני,2015-03-31,,20
200,909,מרצ,2015-03-31,,20
208,903,הרשימה המשותפת,2015-03-31,,20
212,882,הליכוד,2015-03-31,,20
213,902,המחנה הציוני,2015-03-31,,20
216,908,יהדות התורה,2015-03-31,,20
230,882,הליכוד,2015-03-31,,20
695,882,הליכוד,2015-03-31,,20
713,907,הבית היהודי,2015-03-31,,20
723,882,הליכוד,2015-03-31,,20
734,882,הליכוד,2015-03-31,,20
740,902,המחנה הציוני,2015-03-31,,20
751,910,"ש""ס",2015-03-31,,20
754,908,יהדות התורה,2015-03-31,,20
756,903,הרשימה המשותפת,2015-03-31,,20
768,882,הליכוד,2015-03-31,,20
771,882,הליכוד,2015-03-31,,20
772,902,המחנה הציוני,2015-03-31,,20
780,903,הרשימה המשותפת,2015-03-31,,20
782,902,המחנה הציוני,2015-03-31,,20
793,905,ישראל ביתנו,2015-03-31,,20
814,908,יהדות התורה,2015-03-31,,20
818,902,המחנה הציוני,2015-03-31,,20
819,902,המחנה הציוני,2015-03-31,,20
825,882,הליכוד,2015-03-31,,20
826,882,הליכוד,2015-03-31,,20
830,882,הליכוד,2015-03-31,,20
831,882,הליכוד,2015-03-31,,20
837,905,ישראל ביתנו,2015-03-31,,20
839,908,יהדות התורה,2015-03-31,,20
844,903,הרשימה המשותפת,2015-03-31,,20
846,903,הרשימה המשותפת,2015-03-31,,20
857,903,הרשימה המשותפת,2015-03-31,,20
860,904,יש עתיד,2015-03-31,,20
862,902,המחנה הציוני,2015-03-31,,20
863,907,הבית היהודי,2015-03-31,,20
865,902,המחנה הציוני,2015-03-31,,20
866,902,המחנה הציוני,2015-03-31,,20
868,904,יש עתיד,2015-03-31,,20
871,909,מרצ,2015-03-31,,20
873,907,הבית היהודי,2015-03-31,,20
874,904,יש עתיד,2015-03-31,,20
875,904,יש עתיד,2015-03-31,,20
876,904,יש עתיד,2015-03-31,,20
878,904,יש עתיד,2015-03-31,,20
881,902,המחנה הציוני,2015-03-31,,20
888,909,מרצ,2015-03-31,,20
895,909,מרצ,2015-03-31,,20
896,902,המחנה הציוני,2015-03-31,,20
897,904,יש עתיד,2015-03-31,,20
900,904,יש עתיד,2015-03-31,,20
901,902,המחנה הציוני,2015-03-31,,20
903,902,המחנה הציוני,2015-03-31,,20
904,907,הבית היהודי,2015-03-31,,20
906,910,"ש""ס",2015-03-31,,20
910,906,כולנו,2015-03-31,,20
911,906,כולנו,2015-03-31,,20
912,882,הליכוד,2015-03-31,,20
913,902,המחנה הציוני,2015-03-31,,20
914,882,הליכוד,2015-03-31,,20
915,906,כולנו,2015-03-31,,20
916,902,המחנה הציוני,2015-03-31,,20
917,902,המחנה הציוני,2015-03-31,,20
918,882,הליכוד,2015-03-31,,20
919,903,הרשימה המשותפת,2015-03-31,,20
921,906,כולנו,2015-03-31,,20
922,882,הליכוד,2015-03-31,,20
923,903,הרשימה המשותפת,2015-03-31,,20
