mk_individual_id,govministry_id,govministry_name,position_id,position_name,start_date,finish_date,knesset
90,19,הבריאות,39,שר,2018-02-05,,20
216,19,הבריאות,40,סגן שר,2018-01-10,,20
90,19,הבריאות,39,שר,2017-11-28,2018-02-04,20
222,15,הפנים,40,סגן שר,2017-09-27,,20
222,220,"לפיתוח הפריפריה, הנגב והגליל",40,סגן שר,2017-09-27,,20
230,18,התקשורת,39,שר,2017-05-29,,20
45,18,התקשורת,49,"מ""מ שר",2017-02-21,2017-05-29,20
230,28,ראש הממשלה,39,שר,2017-01-23,,20
928,51,הכלכלה והתעשייה,39,שר,2017-01-23,,20
45,25,לשיתוף פעולה אזורי,39,שר,2016-12-26,,20
910,28,ראש הממשלה,40,סגן שר,2016-08-04,,20
931,21,להגנת הסביבה,40,סגן שר,2016-08-02,,20
731,51,הכלכלה והתעשייה,39,שר,2016-08-02,2017-01-22,20
768,21,להגנת הסביבה,39,שר,2016-08-01,,20
731,21,להגנת הסביבה,39,שר,2016-05-31,2016-08-01,20
78,466,העלייה והקליטה,57,שרה,2016-05-30,,20
214,6,הביטחון,39,שר,2016-05-30,,20
768,53,לירושלים ומורשת,39,שר,2016-05-30,,20
863,6,הביטחון,40,סגן שר,2016-05-30,,20
45,491,בלי תיק,39,שר,2016-05-30,2016-12-26,20
90,51,הכלכלה והתעשייה,39,שר,2016-02-01,2016-08-02,20
222,15,הפנים,40,סגן שר,2016-01-13,2017-09-20,20
222,220,"לפיתוח הפריפריה, הנגב והגליל",40,סגן שר,2016-01-13,2017-09-20,20
931,28,ראש הממשלה,40,סגן שר,2016-01-13,2016-08-04,20
41,15,הפנים,39,שר,2016-01-11,,20
90,15,הפנים,39,שר,2015-12-28,2016-01-11,20
931,15,הפנים,40,סגן שר,2015-12-28,2016-01-11,20
103,9,החינוך,40,סגן שר,2015-12-08,,20
864,9,החינוך,39,שר,2015-12-07,,20
864,447,התפוצות,39,שר,2015-12-07,,20
90,51,הכלכלה והתעשייה,49,"מ""מ שר",2015-11-03,2016-02-01,20
830,323,המדע והטכנולוגיה,39,שר,2015-09-02,,20
216,19,הבריאות,39,שר,2015-09-02,2017-11-28,20
929,7,הבינוי והשיכון,40,סגן שר,2015-06-14,,20
931,15,הפנים,40,סגן שר,2015-06-14,2015-12-27,20
734,22,לביטחון הפנים,39,שר,2015-05-25,,20
734,280,לנושאים אסטרטגיים,39,שר,2015-05-25,,20
65,4,האוצר,40,סגן שר,2015-05-19,,20
825,8,החוץ,59,סגנית שר,2015-05-19,,20
230,25,לשיתוף פעולה אזורי,40,סגן שר,2015-05-19,2017-01-20,20
863,6,הביטחון,40,סגן שר,2015-05-19,2016-05-22,20
222,14,"העבודה, הרווחה והשירותים החברתיים",40,סגן שר,2015-05-19,2016-01-13,20
103,9,החינוך,40,סגן שר,2015-05-19,2015-12-06,20
216,19,הבריאות,40,סגן שר,2015-05-19,2015-09-02,20
7,300,לשירותי דת,39,שר,2015-05-14,,20
41,220,"לפיתוח הפריפריה, הנגב והגליל",39,שר,2015-05-14,,20
69,426,התחבורה והבטיחות בדרכים ,39,שר,2015-05-14,,20
69,448,המודיעין,39,שר,2015-05-14,,20
90,28,ראש הממשלה,45,ראש הממשלה,2015-05-14,,20
90,8,החוץ,39,שר,2015-05-14,,20
212,14,"העבודה, הרווחה והשירותים החברתיים",39,שר,2015-05-14,,20
695,467,האנרגיה,39,שר,2015-05-14,,20
713,10,החקלאות ופיתוח הכפר,39,שר,2015-05-14,,20
723,446,לשוויון חברתי,57,שרה,2015-05-14,,20
731,4,האוצר,39,שר,2015-05-14,,20
734,137,ההסברה,39,שר,2015-05-14,,20
826,17,התיירות,39,שר,2015-05-14,,20
826,56,האחראי על תיאום בין הממשלה לבין הכנסת,39,שר,2015-05-14,,20
830,28,ראש הממשלה,39,שר,2015-05-14,,20
831,324,התרבות והספורט ,57,שרה,2015-05-14,,20
904,13,המשפטים,57,שרה,2015-05-14,,20
921,7,הבינוי והשיכון,39,שר,2015-05-14,,20
90,18,התקשורת,39,שר,2015-05-14,2017-02-21,20
90,25,לשיתוף פעולה אזורי,39,שר,2015-05-14,2016-12-26,20
949,21,להגנת הסביבה,39,שר,2015-05-14,2016-05-31,20
768,466,העלייה והקליטה,39,שר,2015-05-14,2016-05-30,20
823,6,הביטחון,39,שר,2015-05-14,2016-05-22,20
122,28,ראש הממשלה,31,משנה לראש הממשלה,2015-05-14,2015-12-27,20
122,15,הפנים,39,שר,2015-05-14,2015-12-27,20
864,9,החינוך,39,שר,2015-05-14,2015-12-06,20
864,447,התפוצות,39,שר,2015-05-14,2015-12-06,20
41,51,הכלכלה והתעשייה,39,שר,2015-05-14,2015-11-03,20
90,19,הבריאות,39,שר,2015-05-14,2015-09-02,20
828,323,המדע והטכנולוגיה,39,שר,2015-05-14,2015-08-27,20
14,28,ראש הממשלה,39,שר,2015-05-14,2015-06-01,20
826,22,לביטחון הפנים,39,שר,2015-05-14,2015-05-25,20
63,28,ראש הממשלה,50,סגן ראש הממשלה,2015-03-31,2015-05-14,20
69,426,התחבורה והבטיחות בדרכים ,39,שר,2015-03-31,2015-05-14,20
70,324,התרבות והספורט ,57,שרה,2015-03-31,2015-05-14,20
77,17,התיירות,39,שר,2015-03-31,2015-05-14,20
77,467,האנרגיה,39,שר,2015-03-31,2015-05-14,20
90,28,ראש הממשלה,45,ראש הממשלה,2015-03-31,2015-05-14,20
122,220,"לפיתוח הפריפריה, הנגב והגליל",39,שר,2015-03-31,2015-05-14,20
695,280,לנושאים אסטרטגיים,39,שר,2015-03-31,2015-05-14,20
695,448,המודיעין,39,שר,2015-03-31,2015-05-14,20
713,7,הבינוי והשיכון,39,שר,2015-03-31,2015-05-14,20
734,18,התקשורת,39,שר,2015-03-31,2015-05-14,20
790,22,לביטחון הפנים,39,שר,2015-03-31,2015-05-14,20
823,6,הביטחון,39,שר,2015-03-31,2015-05-14,20
825,426,התחבורה והבטיחות בדרכים ,59,סגנית שר,2015-03-31,2015-05-14,20
830,28,ראש הממשלה,40,סגן שר,2015-03-31,2015-05-14,20
864,447,התפוצות,39,שר,2015-03-31,2015-05-14,20
864,51,הכלכלה והתעשייה,39,שר,2015-03-31,2015-05-14,20
864,300,לשירותי דת,39,שר,2015-03-31,2015-05-14,20
902,10,החקלאות ופיתוח הכפר,39,שר,2015-03-31,2015-05-14,20
78,466,העלייה והקליטה,57,שרה,2015-03-31,2015-05-10,20
45,8,החוץ,40,סגן שר,2015-03-31,2015-05-07,20
214,8,החוץ,39,שר,2015-03-31,2015-05-07,20
835,15,הפנים,59,סגנית שר,2015-03-31,2015-03-31,20
870,9,החינוך,40,סגן שר,2015-03-31,2015-03-31,20
870,9,החינוך,40,סגן שר,2014-12-08,2015-03-31,19
835,15,הפנים,59,סגנית שר,2014-11-05,2015-03-31,19
45,8,החוץ,40,סגן שר,2014-06-02,2015-03-31,19
768,8,החוץ,40,סגן שר,2013-11-12,2014-05-12,19
214,8,החוץ,39,שר,2013-11-11,2015-03-31,19
77,467,האנרגיה,39,שר,2013-10-15,2015-03-31,19
78,466,העלייה והקליטה,57,שרה,2013-10-15,2015-03-31,19
69,426,התחבורה והבטיחות בדרכים ,39,שר,2013-03-18,2015-03-31,19
70,324,התרבות והספורט ,57,שרה,2013-03-18,2015-03-31,19
77,17,התיירות,39,שר,2013-03-18,2015-03-31,19
90,28,ראש הממשלה,45,ראש הממשלה,2013-03-18,2015-03-31,19
122,220,"לפיתוח הפריפריה, הנגב והגליל",39,שר,2013-03-18,2015-03-31,19
695,280,לנושאים אסטרטגיים,39,שר,2013-03-18,2015-03-31,19
695,448,המודיעין,39,שר,2013-03-18,2015-03-31,19
