mk_individual_id,names
1,"[""יולי יואל אדלשטיין"", ""יואל אדלשטין"", ""יואל יולי אדלשטיין"", ""יולי - יואל אדלשטיין"", ""יולי אדלשטין"", ""יואל אדלשטיין""]"
2,"[""רפאל אדרי""]"
3,"[""אהוד אולמרט""]"
4,"[""אורי אור""]"
5,"[""חיים אורון""]"
6,"[""אפי אושעיה""]"
7,"[""דויד אזולאי"", ""דוד אזולאי"", ""דוד אזולי"", ""דויד אזולי""]"
8,"[""דליה איציק""]"
9,"[""מיכאל איתן""]"
10,"[""רפאל איתן""]"
11,"[""רפאל אלול""]"
12,"[""בנימין אלון""]"
13,"[""טלב אלסאנע""]"
14,"[""בינימין בגין"", ""בנימין בגין"", ""זאב בנימין בגין""]"
15,"[""פיני בדש""]"
16,"[""זאב בוים""]"
17,"[""יגאל ביבי""]"
18,"[""יוסי ביילין""]"
19,"[""נעמי בלומנטל""]"
20,"[""בנימין בן-אליעזר"", ""בנימין (פואד) בן-אליעזר""]"
21,"[""אליהו בן-אלישר""]"
22,"[""אלי בן-מנחם""]"
23,"[""שלמה בן-עמי""]"
24,"[""שמריהו בן-צור""]"
25,"[""שלמה בניזרי""]"
26,"[""רומן ברונפמן""]"
27,"[""עוזי ברעם""]"
28,"[""אהוד ברק""]"
29,"[""עזמי בשארה""]"
30,"[""אליהו גבאי""]"
31,"[""תמר גוז'נסקי"", ""תמר גוז`נסקי""]"
32,"[""מיכה גולדמן""]"
33,"[""אלי גולדשמידט""]"
34,"[""אריה גמליאל""]"
35,"[""משה גפני"", ""רפאל משה גפני""]"
36,"[""עבד-אלמאלכ דהאמשה""]"
37,"[""נסים דהן""]"
38,"[""חיים דיין""]"
39,"[""יעל דיין""]"
40,"[""עבד-אלוהב דראושה"", ""עבד-אלוהאב דראושה""]"
41,"[""אריה מכלוף דרעי""]"
42,"[""אברהם הירשזון""]"
43,"[""שמואל הלפרט""]"
44,"[""זבולון המר""]"
45,"[""צחי הנגבי""]"
46,"[""צבי הנדל""]"
47,"[""יהודה הראל""]"
