CommitteeSessionID,Number,KnessetNum,TypeID,TypeDesc,CommitteeID,Location,SessionUrl,BroadcastUrl,StartDate,FinishDate,Note,LastUpdatedDate,download_crc32c,download_filename,download_filesize,parts_crc32c,parts_filesize,parts_parsed_filename,text_crc32c,text_filesize,text_parsed_filename,topics,committee_name,mks,invitees,legal_advisors,manager,attended_mk_individual_ids
64515,,16,161,פתוחה,22,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64515,,2003-02-25 10:30:00,,,2012-09-19 15:27:32,,,,,,,,,,,החוץ והבטחון,,,,,[]
64516,2,16,161,פתוחה,21,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64516,,2003-02-24 10:00:00,,,2012-09-19 15:27:32,,,,,,,,,,"[""שינויים בתקציב לשנת 2003"", ""בחירת יו\""ר לועדה הזמנית"", ""תקנות התקשורת (בזק ושידורים)(חישוב תשלומים בעד שירותי בזק והצמדתם)(תיקון), התשס\""ג - 2003"", ""תקנות התקשורת (בזק ושידורים)(תשלומים בעד שירותי בזק המפורטים בתוספת לחוק)(תיקון מס' 2), התשס\""ג - 2003"", ""צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס' 115), התשס\""ג - 2003"", ""צו תעריף המכס והפטורים ומס קניה על טובין (הוראת שעה)(מס' 3), התשס\""ג - 2003 (פסיפס מקרמיקה וזכוכית)"", ""צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס' 110), התשס\""ג - 2002 (דגים שנדוגו ע\""י ספינות דייג ישראליות)""]",הכספים,,,,,[]
64517,4,16,161,פתוחה,21,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64517,,2003-03-11 10:00:00,2003-03-11 23:59:00,,2012-09-19 15:27:32,,,,,,,,,,"[""שינויים בתקציב לשנת 2003"", ""תקנות ניירות ערך (חתימה ודיווח אלקטרוני), התשס\""ג - 2003"", ""תקנות ניירות ערך (דוחות תקופתיים ומיידיים), התשס\""ג - 2003"", ""תקנות ניירות ערך (דוחות תקופתיים ומיידיים של תאגיד חוץ)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (הודעת מנהלים)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (מסירת הודעות לרשות)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (פרטי תשקיף,מבנהו וצורתו)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (פרטי מסמך רישום, מבנהו וצורתו)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (פרטי מתאר הצעת ניירות ערך לעובדים)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (הצעה פרטיתך של ניירות ערך בחברה רשומה)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (הצעת רכש)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (חיתום)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (עסקה בין חברה לבין בעל שליטה בה)(תיקון), התשס\""ג - 2003"", ""תקנות ניירות ערך (דוחות תקופתיים ומיידיים)(תיקון), התשס\""ג - 2002"", ""תקנות ניירות ערך (מועדי הגשת הודעה של בעל ענין), התשס\""ג - 2003"", ""המשבר בענף הדגה בישראל""]",הכספים,,,,,[]
64518,,16,161,פתוחה,22,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64518,,2003-02-26 08:30:00,,,2012-09-19 15:27:33,,,,,,,,,,,החוץ והבטחון,,,,,[]
64519,1,16,161,פתוחה,22,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2750",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64519,,2003-03-04 10:00:00,2003-03-04 23:59:00,,2012-09-19 15:27:42,,,,,,,,,,"[""סקירת ראש אמ\""ן האלוף אהרן זאבי (פרקש)""]",החוץ והבטחון,,,,,[]
64520,2,16,161,פתוחה,30,"חדר הוועדה, באגף הוועדות (קדמה), קומה 2, חדר 2730",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64520,,2003-03-11 13:00:00,2003-03-11 23:59:00,,2012-09-19 15:27:43,Nrozmw==,files/23/3/7/377293.DOC,17149,8u210w==,24,files/6/4/64520.csv,LmbDnQ==,8,files/6/4/64520.txt,"[""קידום נשים במדע ובטכנולוגיה""]",לקידום מעמד האישה,[],[],[],[],[]
64521,6,16,161,פתוחה,28,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3730",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=64521,,2003-03-10 10:30:00,2003-03-10 23:59:00,,2012-09-19 15:27:33,,,,,,,,,,"[""מינוי יו\""ר ועדה""]","העבודה, הרווחה והבריאות",,,,,[]
267294,392,17,161,פתוחה,194,"חדר הוועדה, באגף קדמה, קומה 1, חדר 1720",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=267294,,2007-12-25 09:00:00,,,2012-09-19 15:27:39,LYeaSg==,files/23/1/3/136654.DOC,185856,r2rkQg==,72231,files/2/6/267294.csv,mlBNgg==,72416,files/2/6/267294.txt,"[""חוק העונשין (תיקון מס' 97), התשס\""ח-2008""]","החוקה, חוק ומשפט","[""מנחם בן-ששון – היו\""ר"", ""יצחק לוי – מ\""מ היו\""ר"", ""קולט אביטל"", ""עמירה דותן"", ""דוד רותם"", ""משה שרוני""]","[{""name"": ""השופט אלון גילון, סגן מנהל בתי המשפט""}, {""name"": ""עו\""ד חגית לרנאו, הסניגורית הציבורית""}, {""name"": ""ד\""ר אבי ביצור, מנכ\""ל המשרד לענייני גמלאים""}, {""name"": ""עו\""ד עמית מררי, משרד המשפטים""}, {""name"": ""עו\""ד איילת לוי, יועצת משפטית, המשרד לביטחון פנים""}, {""name"": ""רפ\""ק דינה מרום, קצין מדור אלימות במשפחה, המשרד לביטחון פנים""}, {""name"": ""אסתי שדה, סגנית מנהלת שירות מבחן למבוגרים, משרד הרווחה והשירותים החברתיים""}, {""name"": ""עו\""ד אילת ששון, הלשכה המשפטית, משרד הרווחה והשירותים החברתיים""}, {""name"": ""עו\""ד סורל הר-לב,  יועץ משפטי, המשרד לענייני גמלאים""}, {""name"": ""יעקב עמר, סמנכ\""ל המשרד לענייני גמלאים""}, {""name"": ""אנה גנדמן, יועצת פרלמנטרית, המשרד לענייני גמלאים""}, {""name"": ""עו\""ד קרינה קליגר, ממונה על התקציבים, המשרד לענייני גמלאים""}, {""name"": ""עו\""ד נחשון שוחט, לשכת עורכי-הדין""}]","[""איתמר גלבפיש"", ""אפרת רוזן""]","[""דורית ואג""]","[704, 770, 803, 805, 73, 767]"
267295,394,17,161,פתוחה,194,"חדר הוועדה, באגף קדמה, קומה 1, חדר 1720",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=267295,,2007-12-26 09:00:00,,,2012-09-19 15:27:39,9Ovp6w==,files/23/1/3/136655.DOC,257536,Om3qow==,115282,files/2/6/267295.csv,fHUSsw==,115528,files/2/6/267295.txt,"[""חוקה""]","החוקה, חוק ומשפט","[""מנחם בן-ששון – היו\""ר"", ""יצחק לוי"", ""אברהם מיכאלי""]","[{""name"": ""פרופ' שמעון שטרית, הפקולטה למשפטים, האוניברסיטה העברית, ירושלים""}, {""name"": ""עו\""ד טל גיז, ממונה על נוסח החוק, משרד המשפטים""}, {""name"": ""עו\""ד אילת גאדי, ממונה על חקיקת המשנה, משרד המשפטים""}, {""name"": ""עו\""ד אבישי פדהצור, ייעוץ וחקיקה, משרד המשפטים""}, {""name"": ""עו\""ד טל רוסו, משרד המשפטים""}, {""name"": ""עו\""ד שרית דמרי, משרד המשפטים""}, {""name"": ""עו\""ד רביד דקל, משרד המשפטים""}, {""name"": ""עו\""ד אורית מלמד, הלשכה המשפטית, משרד הפנים""}, {""name"": ""עמיר אברמוביץ, המכון הישראלי לדמוקרטיה""}, {""name"": ""רחל פנקובר, הקונגרס היהודי האמריקאי""}, {""name"": ""דב רבינוביץ, הקונגרס היהודי האמריקאי""}, {""name"": ""עו\""ד אריאל גלבוע, המכון לאסטרטגיה ציונית""}, {""name"": ""עו\""ד יואל גולובנסקי, המכון לאסטרטגיה ציונית""}]","[""אייל זנדברג"", ""איתמר גלבפיש""]","[""דורית ואג""]","[784, 73, 767]"
267296,433,17,161,פתוחה,191,"חדר הוועדה, באגף הוועדות (קדמה), קומה 3, חדר 3740",http://main.knesset.gov.il/Activity/committees/Pages/AllCommitteesAgenda.aspx?Tab=3&ItemID=267296,,2007-12-18 15:00:00,,,2012-09-19 15:27:39,qKJgcQ==,files/23/1/3/136656.DOC,156160,VQ2lBA==,49384,files/2/6/267296.csv,iZ2rQA==,49342,files/2/6/267296.txt,"[""חוק משק הגז (קידום התחרות בגז לצריכה ביתית) (תיקוני חקיקה), התשס\""ח-2008""]",הכלכלה,"[""גלעד ארדן – היו\""ר"", ""קולט אביטל"", ""יצחק וקנין"", ""יצחק זיו"", ""יעקב כהן"", ""סופה לנדבר"", ""אברהם מיכאלי"", ""יורם מרציאנו"", ""מיכאל נודלמן"", ""אפרים סנה"", ""יוחנן פלסנר"", ""ליה שמטוב"", ""רונית תירוש""]","[{""name"": ""בנימין בן אליעזר  - שר התשתיות הלאומיות""}, {""name"": ""חזי קוגלר   - מנכ\""ל משרד התשתיות הלאומיות""}, {""name"": ""ולדימיר נמירובסקי  - סמנכ\""ל משרד התשתיות הלאומיות""}, {""name"": ""עו\""ד דרורה לפשיץ  - היועצת המשפטית, משרד התשתיות הלאומיות""}, {""name"": ""חן בר יוסף   - אגף כלכלה, משרד התשתיות הלאומיות""}, {""name"": ""ארז נדבקר   - אגף פיקוח בטיחות, משרד התשתיות הלאומיות""}, {""name"": ""נתן קרמסקי   - מנהל אגף פיקוח, משרד התשתיות הלאומיות""}, {""name"": ""חיים פרננדס   - סגן הממונה על התקציבים, משרד האוצר""}, {""name"": ""עו\""ד דרור שטרום  - יועץ חיצוני, משרד האוצר""}, {""name"": ""ארז קמינץ   - ייעוץ וחקיקה, משרד המשפטים""}, {""name"": ""עו\""ד עדנה הראל  - משרד המשפטים""}, {""name"": ""רונית קן   - ממונה על ההגבלים העסקיים""}, {""name"": ""מרב בארי שני  - משנה לממונה על ההגבלים העסקיים""}, {""name"": ""עו\""ד קובי גולדברג  - רשות ההגבלים העסקיים""}, {""name"": ""עו\""ד עידן בן ארי  - יועץ משפטי, אמישראגז""}, {""name"": ""רון קיסרי   - סמנכ\""ל שיווק סופרגז לבית""}, {""name"": ""עו\""ד גל רוזנט  - יועץ משפטי, חברת סופרגז""}, {""name"": ""שלמה אביטן   - מנכ\""ל גז יגל""}, {""name"": ""פנחס בידרמן   - מנכ\""ל פזגז""}, {""name"": ""אלי פיימן   - סמנכ\""ל תפעול, פזגז""}, {""name"": ""עו\""ד תמר בזק רפפורט - יועצת משפטית, פזגז""}, {""name"": ""אברהם פרל  - יו\""ר ש.א.מ מרכז הגז""}, {""name"": ""יורם טמיר  - מנכ\""ל ש.א.מ מרכז הגז ויו\""ר חטיבת הגז באיגוד לשכות המסחר""}, {""name"": ""צביקה סבו  - מנהל גז גל""}, {""name"": ""רונן סלומון  - מנהל תחום אנרגיה, איגוד לשכות המסחר""}, {""name"": ""עו\""ד סלעית קולר - המועצה לצרכנות""}, {""name"": ""עו\""ד אייל אורון - אמון הציבור""}]","[""אתי בנדלר""]","[""לאה ורון""]","[704, 802, 774, 809, 777, 78, 783, 784, 50, 788, 94, 89, 734]"
