PlenumSessionID,Number,KnessetNum,Name,StartDate,FinishDate,IsSpecialMeeting,LastUpdatedDate
8604,340,15,ישיבת מליאה בתאריך 14/10/2002 בשעה: 15:00,1899-12-30 15:00:00,1899-12-30 19:00:00,False,2016-09-05 17:06:05
8629,344,15,ישיבת מליאה בתאריך 21/10/2002 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:42:00,False,2016-09-05 17:06:05
9893,10,16,ישיבת מליאה בתאריך 05/03/2003 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 17:53:00,False,2013-10-03 16:21:47
10105,11,16,ישיבת מליאה בתאריך 10/03/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:06:00,False,2013-10-03 16:21:47
10106,12,16,ישיבת מליאה בתאריך 11/03/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:00:00,False,2013-10-03 16:21:47
10107,13,16,ישיבת מליאה בתאריך 12/03/2003 בשעה: 11:00,2003-03-12 11:00:00,1899-12-30 20:25:00,False,2013-10-03 16:21:47
10480,14,16,ישיבת מליאה בתאריך 24/03/2003 בשעה: 16:00,2003-03-24 16:00:00,1899-12-30 19:03:00,False,2013-10-03 16:21:47
10481,15,16,ישיבת מליאה בתאריך 25/03/2003 בשעה: 16:00,2003-03-25 16:00:00,1899-12-30 20:16:00,False,2013-10-03 16:21:47
10482,16,16,ישיבת מליאה בתאריך 26/03/2003 בשעה: 11:00,2003-03-26 11:00:00,1899-12-30 23:20:00,False,2013-10-03 16:21:47
11088,17,16,ישיבת מליאה בתאריך 30/04/2003 בשעה: 10:00,2003-04-30 10:00:00,1899-12-30 21:10:00,False,2013-10-03 16:21:47
11153,18,16,ישיבת מליאה בתאריך 05/05/2003 בשעה: 10:00,2003-05-05 10:00:00,1899-12-30 13:22:00,False,2013-10-03 16:21:47
125624,302,16,ישיבת מליאה בתאריך 14/12/2005 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 16:50:00,False,2013-10-03 16:21:47
126379,303,16,ישיבת מליאה בתאריך 19/12/2005 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 19:50:00,False,2013-10-03 16:21:47
126380,304,16,ישיבת מליאה בתאריך 20/12/2005 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:10:00,False,2013-10-03 16:21:47
126381,305,16,ישיבת מליאה בתאריך 21/12/2005 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 20:24:00,False,2013-10-03 16:21:47
127823,306,16,ישיבת מליאה בתאריך 26/01/2006 בשעה: 14:00,1899-12-30 14:00:00,1899-12-30 18:30:00,False,2014-12-08 11:04:56
128152,307,16,ישיבת מליאה בתאריך 08/02/2006 בשעה: 15:00,1899-12-30 15:00:00,1899-12-30 18:00:00,False,2013-10-03 16:21:47
128332,308,16,ישיבת מליאה בתאריך 13/02/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 19:50:00,False,2013-10-03 16:21:47
128672,309,16,ישיבת מליאה בתאריך 22/02/2006 בשעה: 14:00,1899-12-30 14:00:00,1899-12-30 18:30:00,False,2013-10-03 16:21:47
128986,310,16,ישיבת מליאה בתאריך 01/03/2006 בשעה: 12:00,1899-12-30 12:00:00,1899-12-30 16:30:00,False,2013-10-03 16:21:47
129232,311,16,ישיבת מליאה בתאריך 08/03/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 18:20:00,False,2013-10-23 16:05:01
130039,1,17,ישיבת מליאה בתאריך 17/04/2006 בשעה: 16:00,2006-04-17 16:00:00,1899-12-30 17:20:00,False,2013-10-03 16:21:47
130091,2,17,ישיבת מליאה בתאריך 17/04/2006 בשעה: 18:00,2006-04-17 18:00:00,1899-12-30 19:00:00,False,2013-10-03 16:21:47
130146,3,17,ישיבת מליאה בתאריך 24/04/2006 בשעה: 11:00,2006-04-24 11:00:00,1899-12-30 15:10:00,False,2013-10-03 16:21:47
130148,4,17,ישיבת מליאה בתאריך 26/04/2006 בשעה: 11:00,2006-04-26 11:00:00,1899-12-30 15:40:00,False,2013-10-03 16:21:47
131247,5,17,ישיבת מליאה בתאריך 04/05/2006 בשעה: 12:00,1899-12-30 12:00:00,1899-12-30 21:30:00,False,2013-10-03 16:21:47
131737,6,17,ישיבת מליאה בתאריך 08/05/2006 בשעה: 14:00,2006-05-08 14:00:00,1899-12-30 21:20:00,False,2013-10-03 16:21:47
131738,7,17,ישיבת מליאה בתאריך 09/05/2006 בשעה: 15:00,1899-12-30 15:00:00,1899-12-30 18:10:00,False,2013-10-03 16:21:47
131739,8,17,ישיבת מליאה בתאריך 10/05/2006 בשעה: 11:02,2006-05-10 11:02:00,1899-12-30 14:30:00,False,2013-10-03 16:21:47
132638,9,17,ישיבת מליאה בתאריך 15/05/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 18:00:00,False,2013-10-03 16:21:47
132640,10,17,ישיבת מליאה בתאריך 16/05/2006 בשעה: 16:00,2006-05-16 16:00:00,1899-12-30 18:50:00,False,2013-10-03 16:21:47
132641,11,17,ישיבת מליאה בתאריך 17/05/2006 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 18:00:00,False,2013-10-03 16:21:47
134267,12,17,ישיבת מליאה בתאריך 22/05/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:00:00,False,2013-10-03 16:21:47
134268,13,17,ישיבת מליאה בתאריך 23/05/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 18:30:00,False,2013-10-03 16:21:47
134269,14,17,ישיבת מליאה בתאריך 24/05/2006 בשעה: 11:00,2006-05-24 11:00:00,1899-12-30 17:40:00,False,2013-10-03 16:21:47
135725,16,17,ישיבת מליאה בתאריך 30/05/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 19:50:00,False,2013-10-03 16:21:47
135728,15,17,ישיבת מליאה בתאריך 29/05/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 19:00:00,False,2013-10-03 16:21:47
135729,17,17,ישיבת מליאה בתאריך 31/05/2006 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 22:10:00,False,2013-10-03 16:21:47
137105,18,17,ישיבת מליאה בתאריך 05/06/2006 בשעה: 16:00,2006-06-05 16:00:00,1899-12-30 22:50:00,False,2013-10-03 16:21:47
137106,19,17,ישיבת מליאה בתאריך 06/06/2006 בשעה: 09:00,1899-12-30 09:00:00,1899-12-30 21:10:00,False,2013-10-03 16:21:47
137107,20,17,ישיבת מליאה בתאריך 07/06/2006 בשעה: 09:00,1899-12-30 09:00:00,1899-12-30 20:10:00,False,2013-10-03 16:21:47
138490,21,17,ישיבת מליאה בתאריך 12/06/2006 בשעה: 16:00,2006-06-12 16:00:00,1899-12-30 21:00:00,False,2013-10-03 16:21:47
138491,22,17,ישיבת מליאה בתאריך 13/06/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:10:00,False,2013-10-03 16:21:47
138492,23,17,ישיבת מליאה בתאריך 14/06/2006 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 18:10:00,False,2013-10-03 16:21:47
140084,24,17,ישיבת מליאה בתאריך 19/06/2006 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 21:30:00,False,2013-10-03 16:21:47
