,MK number,Attendences
0,728,7
1,713,9
2,831,8
3,35,18
4,845,42
5,782,6
6,210,6
7,818,9
8,827,11
9,802,6
10,835,7
11,100,55
12,230,2
13,5,7
14,804,10
15,810,47
16,208,14
17,817,17
18,727,4
19,730,6
20,197,1
21,7,29
22,774,4
23,772,9
24,814,302
25,785,5
26,50,6
27,821,3
28,194,20
29,838,6
30,834,8
31,846,5
32,819,4
33,820,14
34,822,9
35,825,31
36,768,28
37,795,9
38,784,175
39,91,28
40,752,9
41,848,11
42,754,9
43,839,2
44,780,29
45,200,8
46,717,1
47,13,28
48,832,13
49,105,2
50,212,1
51,840,13
52,837,11
53,114,1
54,826,66
55,841,40
56,805,331
57,789,18
58,842,3
59,9,4
60,216,3
61,96,2
62,843,15
63,64,5
64,809,23
65,206,10
66,850,3
67,830,3
68,776,13
69,851,17
70,828,5
71,740,40
72,793,8
73,201,8
74,119,3
75,115,1
76,807,1
77,800,1
78,103,1
79,836,2
80,781,2
81,204,1
82,797,2
83,829,2
84,756,2
85,731,1
86,790,1
