KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Mks,Topics,CommitteeID
16,2003,03,17,0,9,2,8,1,29,64550,4,738;745;749;729;730;92,שדה התעופה בהרצליה - כפר שמריהו,24
16,2003,03,11,0,31,0,6,21,14,64551,2,738;35;740;7;748;92;733,הזרמת מי שופכין לים תיכון ,24
16,2003,03,24,2,1,10,6,4,9,64557,6,98;26;35;196;745;121;730;92,פגישת הכרות וסקירת שר הפנים על פעולות משרדו,24
16,2003,03,25,8,0,16,1,0,28,64558,7,730;740;757;230,מעמדם של אנשי צד"ל,24
16,2003,03,26,2,71,3,1,4,2,64559,10,738;729;26;92;730,פגישת הכרות וסקירת השרה לאיכות הסביבה על פעולות משרדה,24
16,2003,03,24,1,1,8,11,0,6,64564,4,137;747;100;206,תקנות המרכז לגבית קנסות אגרות והוצאות (קבלת מידע מאת רשות מס) התשס"ג - 2003 ; תקנות למניעת העסקה של עברייני מין במוסד המכוון למתן שירות לקטינים (אישור המשטרה) השתס"ג - 2003,25
16,2003,03,25,2,0,1,2,0,6,64565,5,100;744;201;747;206;112;19;725;697;58;92;29;734;735,הערכות הכנסת לקראת השינוי המשמעותי הצפוי בהרכב בית המשפט העליון,25
16,2003,03,26,0,0,1,1,5,4,64566,7,747;29;206,כללי לשכת עורכי הדין (עיסוק אחר) התשס"ג - 2003,25
16,2003,03,24,0,0,7,6,3,22,64570,2,737;743;203;726;734,המאבק בתאונות הדרכים - אכיפת עבירות התנועה,23
16,2003,03,25,3,0,12,4,0,2,64573,3,64;748;208;723;726;89;58;734,שינוי במדיניות העמלות של חברת אל-על וההשלכות על ענף התיירות,23
16,2003,03,26,0,0,1,5,1,0,64577,6,744;137;747;725;92,שאילתא בוועדה: עיכובים בטיפול בתיקי נוער בבתי משפט השלום,25
16,2003,03,24,1,0,50,9,1,2,64580,9,697;91;723;742,כוונת משרד האוצר לבטל יישום דו"ח וינוגרד (שכר לימוד באוניברסיטאות),27
