KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Topics,CommitteeID
18,2009,05,28,0,0,0,0,0,0,323133,None,,658
18,2009,07,28,0,0,3,4,0,5,328160,None,,653
18,2009,08,05,0,0,0,0,0,0,328440,None,,653
18,2009,09,02,1,0,20,4,0,10,328619,None,,653
18,2009,09,16,0,0,0,0,0,0,328851,None,,653
18,2009,11,02,1,0,15,0,3,1,330379,None,צוות בדיקה לפרק כ"א: היטל בשל צריכת מים עודפת מתוך חוק ההתייעלות הכלכלית (תיקוני חקיקה ליישום התכנית הכלכלית לשנים 2009 ו- 2010) התשס"ט - 2009,653
18,2010,01,18,0,0,0,0,0,0,334110,None,,656
18,2010,05,04,12,1,0,2,6,14,348511,205,ספורט נכים - לרבות ההכנות לאולימפיאדת הנכים,659
18,2009,05,27,0,0,23,7,3,1,324400,None,הקמת ועדת המשנה למאבק בסחר בנשים,662
18,2009,07,15,0,0,0,0,0,0,327381,None,חוק הענקת אזרחות כבוד לחללי מלחמת הקוממיות התש"ע-2010,656
18,2009,05,06,0,0,1,1,2,3,322842,1,בחירת יו"ר הוועדה,668
18,2009,06,17,1,0,1,1,0,2,325616,12,פניות ציבור לגבי תעריפי הגביה הגבוהים של שירותי הכבאות,668
18,2009,09,07,0,0,0,1,0,1,328479,20,פניות ציבור  לגבי סגירת מקווה הטהרה בישוב עשרת,668
18,2009,10,20,0,1,26,2,5,1,328968,23,פניות ציבור לגבי השירות הניתן לאזרחים על ידי חברת הדואר- ישיבת המשך לישיבת הוועדה שהתקיימה בנושא ב-10 ביוני 2009,668
18,2009,11,03,1,0,0,9,212,1,329462,26,פניות ציבור לגי העדר טיפול הולם עבור ילדות ונערות הסובלות מהפרעות אכילה- ישיבת מעקב לישיבת הוועדה שהתקיימה ב- 2/6/2009.,668
18,2011,03,16,0,0,0,2,2,19,408740,96,פניות ציבור בנוגע להערכות להסדרי ההסעות למערת המכפלה בחוה"מ פסח,668
18,2012,03,06,0,0,2,3,68,0,432519,154,פניות ציבור לגבי התנהלות משרד הרישוי בנוגע לביטול תווי חניה לילדים נכים- ישיבת מעקב לישיבה שהתקיימה בנושא ב- 22.12.2010,668
18,2012,02,06,0,0,24,3,115,2,429847,145,פניות ציבור בנוגע לשירותי האמבולנס של מגן דוד אדום:-הסדרת חובות העבר של החייבים-אופן ההתחשבנות עם קופות החולים-טיפול משרדי עורכי הדין בתיקי החייבים-שונות,668
18,2011,11,02,0,0,3,2,3,1,423058,127,פניות ציבור לגבי הערכות משרד התחבורה וחברת אגד להפעלת כרטיס ה"רב קו" בירושלים,668
18,2010,05,04,0,0,1,12,0,6,347813,54,פניות ציבור לגבי השימוש בכרטיסי "רב קו" בתחבורה הציבורית,668
18,2009,09,09,0,0,0,7,1,2,328707,21,פניות ציבור לגבי מערך התחבורה החדש של אגד בירושלים.,668
18,2009,11,04,1,0,3,136,0,6,330256,27,פניות ציבור לגבי התנהלות משרד הרישוי: 1. הקמת מאגר פרטי רכב במשרד הרישוי לעיון הציבור לצורך בדיקת בעלויות קודמות 2. מדיניות רשות הרישוי לגבי הקצאת מבחנים מעשיים. 3. מדיניות רשות הרישוי לגבי נהגים שלא מחדשים את רישיונם במועד. ישיבת מעקב לישיבה מה- 3/8/2009,668
18,2009,06,24,0,1,102,2,0,0,326037,14,התנהלות רשם העמותות כלפי העמותות- אמצעי תשלום תדירות הביקורות ועוד.,668
18,2009,10,27,0,0,39,0,1,0,329730,24,פניות ציבור לגבי תגמולי עובדי מס הכנסה.,668
18,2009,11,10,1,0,8,0,2,0,329793,29,פניות ציבור לגבי השירות הניתן במוקד הטלפוני של המוסד לביטוח לאומי. ישיבת מעקב לישיבה שהתקיימה בנושא ב-7/7/2009.,668
18,2009,06,16,0,34,0,3,19,6,325112,11,פניות ציבור לגבי זיהום אויר בעתלית,668
18,2009,11,17,0,4,5,8,0,4,331320,31,פניות ציבור של העמותות שמחלקות מזון לנזקקים על הקשיים בקבלת סיוע לפעילותן מצד משרדי ממשלה.,668
18,2009,10,13,0,0,0,0,0,0,328538,22,פניות ציבור לגבי התנהלות רשות המיסים כלפי הורים לילדים נכים. ישיבת המשך לישיבת הוועדה שהתקיימה בנושא ב-3 ביוני 2009.,668
18,2009,12,24,0,0,18,0,0,1,333445,38,סיור וישיבת ועדה בנושא: פניות ציבור לגבי השירות הניתן לאזרחים על ידי חברת הדואר"- ישיבת מעקב לישיבות מה- 10/6/2009 ומה- 20/10/2009,668
18,2009,11,18,0,0,1,23,72,0,330625,32,פניות ציבור לגבי ביצוע בדיקות "סינון שמיעה" ליילודים בבתי החולים. ישיבת מעקב לישיבה שהתקיימה בנושא ב- 26 במאי 2009.,668
18,2010,01,05,0,0,10,2,0,1,332920,40,פניות ציבור בעניין קריסתה של חברת השירות "תדיראן אמפא" והשירות הניתן על ידי חברת קריסטל למבוטחי "תדיראן אמפא". ישיבת המשך לישיבות הוועדה שהתקיימו בנושא ב- 27 במאי 2009 וב- 21 ביולי 2009.,668
18,2010,01,20,0,0,5,4,4,0,334807,43,פניות ציבור בנושא הטיפול בניצולי שואה מצד גורמים שונים האמונים על כך,668
18,2009,11,10,0,0,1,5,50,0,329791,28,פניות ציבור לגבי הגדרת נכויות אצל ילדים- הצעה לקבוע "נכות לילדים" במקרים של נכות לצמיתות ולא לקבוע רק "זכאות לגמלת ילד נכה".,668
18,2010,02,23,5,0,0,2,0,7,337830,48,פניות ציבור בנושא הקמת מוקד שליטה ודיווח לאזרחים בדבר מצב התנועה בירושלים,668
18,2010,03,15,1,0,3,20,4,16,342810,50,התנהגות צרכנית נבונה בקרב הציבור,668
18,2009,12,29,0,1,2,1,2,4,333075,39,פניות ציבור בנושא גביית כספים בגנים לאומיים ובחופים,668
18,2010,02,09,0,0,5,4,4,3,336084,46,פניות ציבור לגבי השירות הניתן על ידי חברות הכבלים והלווין,668
18,2009,12,07,0,0,5,2,0,23,332550,34,פניות ציבור לגבי ההשלכות הכספיות והמעשיות כתוצאה מהחלטת הממשלה על הקפאת הבנייה.,668
18,2009,12,09,0,0,4,0,73,1,329308,36,פניות ציבור בנוגע לשירותי האמבולנס של מגן דוד אדום- ישיבת המשך לישיבת הוועדה מה-23 ביוני 2009,668
18,2009,11,17,0,0,40,18,0,51,330646,30,פניות ציבור לגבי סגירתה של מכללת אלבאום. ישיבת מעקב לישיבות שהתקיימו בנושא ב-19/5/2009 וב- 13/7/2009.,668
18,2010,01,06,0,0,6,6,0,3,334076,41,פניות ציבור בנושא הרעת התנאים לבעלי רישיונות רכב מדרגה 02,668
18,2010,02,02,5,0,16,1,70,2,335453,45,פניות ציבור בנושא הטיפול בניצולי שואה מצד גורמים שונים האמונים על כך- ישיבת המשך לישיבה שהתקיימה בנושא ב- 20/1/2010.,668
18,2009,08,03,0,0,1,79,0,8,328172,19,פניות ציבור לגבי התנהלות משרד הרישוי: 1. הקמת מאגר פרטי רכב במשרד הרישוי לעיון הציבור לצורך בדיקת בעלויות קודמות. 2. מדיניות רשות הרישוי לגבי הקצאת מבחנים מעשיים (טסטים). 3. מדיניות רשות הרישוי לגבי נהגים שלא מחדשים את  רישיונם במועד.,668
18,2010,06,01,1,1,106,1,0,11,354870,58,פניות ציבור לגבי אי כיבוד המחאות על ידי חברות הסליקה,668
18,2009,12,08,0,0,33,4,0,1,331956,35,פניות ציבור לגבי התנהלות רשם העמותות כלפי העמותות- אמצעי תשלום תדירות הביקורות ועוד. ישיבת המשך לישיבה שהתקיימה בנושא ב-24 ביוני 2009.,668
18,2010,05,11,1,0,1,0,15,17,350430,55,פניות ציבור בנושא ייבוא רכבים למטרות הצלה לגופים העוסקים בכך. ,668
18,2010,06,15,0,2,15,13,27,1,359038,60,פניות ציבור של הורים לילדים נכים המבקשים את השתתפות המדינה בקצבת שר"מ- קצבה למימון עובד זר,668
18,2009,06,02,0,1,5,11,198,2,324489,7,פניות ציבור לגבי העדר טיפול הולם עבור ילדות ונערות הסובלות מהפרעות אכילה ישיבת מעקב.,668
18,2010,05,26,0,0,29,2,1,23,353095,57,פניות  ציבור בנושא ועדת תובענות לגבי הקפאת הבנייה,668
