,Lexicon words,Frquency
0,שיעור,985
1,משכורת,402
2,שכר,2961
3,ביטחון,3218
4,בית ספר,1033
5,כיתה,926
6,הגנה,976
7,תלמידים,2538
8,"צה""ל",513
9,כיתות,918
10,מחבל,30
11,פיגוע,43
12,טיל,82
13,"פצמ""ר",1
14,כלכלית,1113
15,הוראה,1088
16,מפקד,298
17,מבחן,841
18,בטחון,263
19,מורים,1487
20,כלכלה,1230
21,מחזור,320
22,"תל""ג",10
23,תיכון,259
24,ריבית,289
25,תרופות,948
26,תרופה,383
27,ניתוח,286
28,אשראי,515
29,בריאות,4041
30,שיעורים,181
31,בנק,1881
32,תלמיד,789
33,יסודי,319
34,משכורות,259
35,חולים,2826
36,מורה,589
37,"או""ם",86
38,בנקים,1089
39,מניות,152
40,רופא,519
41,רופאים,403
42,הלוואות,327
43,רופאה,24
44,הלוואה,223
45,חולה,445
46,חמאס,23
47,הרוגים,59
48,בתי החולים,381
49,רפואה,413
50,משכנתאות,82
51,זיהום,276
52,להגן,673
53,"בי""ס",42
54,הולנד,31
55,בתי ספר,656
56,מבחנים,228
57,צרפת,156
58,ארצות הברית,395
59,מרפאות,128
60,מפגע,50
61,משלחת,84
62,שגרירים,24
63,התקפה,25
64,גרמניה,145
65,להתקיף,9
66,שגריר,70
67,פנסיה,633
68,איכות הסביבה,553
69,אינפלציה,44
70,חיילים,429
71,משלחות,39
72,מזהם,32
73,גדוד,23
74,"רמטכ""ל",119
75,אשפוז,228
76,בית חולים,434
77,משרד החוץ,260
78,דיפלומטית,4
79,מרפאה,62
80,פצועים,35
81,משכנתא,68
82,מיחזור,71
83,חייל,161
84,"נדל""ן",41
85,ניתוחים,68
86,חיל,152
87,ממחזרים,5
88,למחזר,14
89,סוציאליזם,4
90,אישפוז,7
91,בתי חולים,197
92,אשפוזים,23
93,פנסיות,60
94,צבא הגנה לישראל,10
95,הודו,38
96,פגועים,20
97,תלמידות,41
98,תיכונים,8
99,מזהמים,44
100,אזעקה,14
101,שגרירות,68
102,שגרירה,10
103,חיילת,21
104,גדודים,5
105,טילים,102
106,"תמ""ג",12
107,שירות קבע,4
108,חיזבאללה,25
109,קונסוליות,9
110,קונסוליה,44
111,אוברדראפט,18
112,אום,78
113,פיגועים,40
114,דיפלומטים,7
115,קפיטליזם,6
116,אקולוגיה,3
117,תלמידה,46
118,מניה,14
119,שגרירויות,12
120,חיילות,48
121,שירות חובה,4
122,טנק,65
123,פלוגות,10
124,טנקים,21
125,תוצר לאומי גולמי,2
126,אזעקות,2
127,פלוגה,7
128,חזבאללה,5
129,מחבלת,2
130,מזהמות,3
131,דיפלומט,4
132,אישפוזים,1
133,מזהמת,1
