KnessetNum,Year,Month,Day,Diplomacy_score,Ecologics_score,Economics_score,Education_score,Health_score,Security_score,CommitteeSessionID,Number,Mks,Topics,CommitteeID
17,2006,04,17,0,0,0,0,0,0,130203,1,115,בחירת יו"ר ועדה,196
17,2006,04,24,0,0,2,3,0,0,130398,3,768;65;803;5;773;78;751;786;114;756;216;89;123;92,תקנות התעבורה (עדכון מס') התשס"ו-2006 (עדכון קבוצות המחיר) (מכתב מ-27.3.06) ; צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס' 8) התשס"ו-2006 (סיווג כלי הרכב),196
17,2006,04,24,0,0,0,4,0,33,130424,5,768;65;803;5;773;78;751;786;114;756;216;89;123;92,מיגון יישובי עוטף עזה ומוסדות החינוך שבהם,196
17,2006,04,26,0,0,1,1,0,17,130704,12,768;803;740;69;5;773;751;208;786;114;756;216;89;92;767,מיגון יישובי עוטף עזה ומוסדות החינוך שבהם,196
17,2006,04,26,0,0,1,1,0,0,130705,183,768;803;740;69;5;773;751;208;786;114;756;216;89;92;767,תקנות התעבורה (עדכון מס') התשס"ו-2006-מנגנון עדכון אגרות הפחתת אגרות רכב הוראת נהיגה,196
17,2006,04,26,0,0,6,6,0,0,130708,13,768;5;216;89;92,אישור התנאים ואמות מידה למתן מענקים ושיעורם (לפי החוק לעידוד מחקר ופיתוח בתעשיה התשמ"ד-1984),196
17,2006,04,26,0,0,0,0,0,4,130844,184,216;768;92;5,מיגון יישובי עוטף עזה ומוסדות החינוך שבהם,196
17,2006,04,24,0,0,0,0,0,0,130965,None,704;803;100;796;774;773;35;772;73;210;115;756;725;94;58;92;734,ישיבות הכנסת בשבוע יום הזיכרון ויום העצמאות,190
17,2006,04,26,0,0,4,1,0,0,130988,185,768;803;740;69;5;773;751;208;786;114;756;216;89;92;767,זכויותיו של ראש ממשלה מכהן ורעייתו,196
17,2006,04,26,0,0,1,6,0,0,131006,186,768;803;740;69;5;773;751;208;786;114;756;216;89;92;767,אישור התנאים ואמות מידה למתן מענקים ושיעורם (לפי החוק לעידוד מחקר ופיתוח בתעשיה התשמ"ד-1984),196
17,2006,05,04,0,0,0,0,0,0,131345,None,773;774;776;777;802;35;804;58;197;73;208;725;92;734;94;100;751;114;115;121;764,חילופין בראשות ועדה ; קביעת מסגרת הדיון להצגת הממשלה,190
17,2006,05,08,0,0,0,3,0,35,131699,182,768;194;803;773;69;5;78;751;786;114;791;216;89;92;798,מיגון יישובי עוטף עזה ומוסדות החינוך שבהם,196
17,2006,05,09,0,1,33,36,7,9,131882,19,,התקציב לשנת 2006 - סקירת שר האוצר ; חוק התקציב לשנת הכספים 2006 התשס"ו-2006,196
17,2006,05,08,0,0,3,1,0,1,131948,None,768;773;774;776;777;786;35;803;804;50;58;704;197;201;73;208;210;725;92;734;94;751;114;764,סדר הישיבה במליאה ; חלוקת חדרים לחברי הכנסת לפי מפתח סיעתי ; קביעת מסגרת הדיון להצעות להביע אי אמון בממשלה ; בקשת הממשלה להקדמת הדיון בהצעת חוק - לפני הקריאה הראשונה ; הרכב סיעתי בועדות הכנסת,190
17,2006,05,10,0,0,4,0,0,0,132085,None,772;773;774;776;777;782;799;803;35;50;58;704;197;201;73;717;208;210;725;89;92;734;94;751;114;756;758;121;764,הרכב סיעתי בועדות הכנסת,190
17,2006,05,09,0,0,0,0,0,3,132651,1,,הגשת הדו"ח השנתי (56ב') של מבקר המדינה.,201
17,2006,05,16,1,0,1,0,2,3,132656,2,769;9;203;782;752;121;798,בחירת יושב ראש הוועדה לענייני ביקורת המדינה,201
17,2006,05,16,0,0,288,1,10,0,132659,3,769;770;776;9;203;782;752;121;798,דו"ח מבקר המדינה על בנק ישראל - הטבות שכר,201
