,Lexicon words,Frquency
0,תיכון,18
1,כלכלית,297
2,ביטחון,1740
3,"צה""ל",149
4,שכר,732
5,שיעור,277
6,מורים,56
7,כלכלה,108
8,משכנתא,35
9,"נדל""ן",19
10,מבחן,705
11,אשראי,332
12,בנק,1084
13,תלמידים,117
14,הודו,14
15,הגנה,778
16,בנקים,419
17,להגן,405
18,רופא,660
19,משלחות,8
20,בטחון,116
21,צרפת,20
22,מחזור,43
23,משלחת,10
24,חיל,17
25,שגרירים,7
26,רופאים,345
27,תלמיד,79
28,רפואה,183
29,חולים,2203
30,בתי החולים,254
31,ניתוחים,41
32,מורה,151
33,משכורת,133
34,בריאות,1642
35,חייל,141
36,מרפאה,118
37,מפקד,112
38,בית ספר,155
39,ארצות הברית,90
40,כיתות,35
41,מניות,120
42,בתי ספר,67
43,הוראה,670
44,אשפוז,152
45,בית חולים,298
46,כיתה,92
47,חולה,379
48,בתי חולים,173
49,מרפאות,96
50,שיעורים,61
51,פיגועים,14
52,גדודים,5
53,תרופות,199
54,רופאה,40
55,תרופה,108
56,ריבית,154
57,פיגוע,24
58,מבחנים,144
59,חיילים,181
60,תלמידה,6
61,פנסיה,52
62,ניתוח,161
63,זיהום,87
64,איכות הסביבה,41
65,מזהמים,5
66,מפגע,21
67,טיל,60
68,משכורות,27
69,הלוואה,104
70,שגריר,3
71,יסודי,37
72,משכנתאות,12
73,חיילת,8
74,חיילות,3
75,גרמניה,22
76,משרד החוץ,12
77,שירות חובה,1
78,"או""ם",14
79,אשפוזים,21
80,מחבל,13
81,תלמידות,7
82,"רמטכ""ל",17
83,גדוד,3
84,פגועים,5
85,רופאות,2
86,הרוגים,16
87,פצועים,10
88,הלוואות,40
89,אישפוז,9
90,התקפה,5
91,מניה,12
92,פנסיות,4
93,שגרירות,3
94,אישפוזים,15
95,אום,51
96,קפיטליזם,1
97,אזעקות,8
98,אזעקה,2
99,"תל""ג",2
100,הולנד,10
101,חמאס,6
102,אינפלציה,6
103,צבא הגנה לישראל,5
104,טילים,10
105,"פצמ""ר",2
106,אקולוגיה,1
107,אוברדראפט,1
108,מזהם,13
109,פלוגה,1
110,מזהמת,1
111,טנק,3
112,טנקים,2
113,קונסוליה,3
114,קונסוליות,1
115,שירות קבע,2
116,ממחזר,1
117,כיפת ברזל,3
118,דיפלומט,1
119,מחבלת,2
120,פלוגות,1
